# Generated by mat-a11y - do not edit
# traufix.de | freelancermap.de/profil/robin-spanier
URL,Score,Status,IssueCount,Priority,TopIssue
FilterCards,85,warning,5,33,colorContrast
DayPlan,83,warning,7,33,innerHtmlUsage
SeatingEditTableDialog,83,warning,5,33,matIconAccessibility
MagicLink,73,warning,5,33,matIconAccessibility
MythBuster,80,warning,6,32,colorContrast
BeforeAfterComparisonComponent,82,warning,7,31,innerHtmlUsage
ChecklistTracker,91,passing,5,31,colorContrast
SeasonalFilterComponent,79,warning,6,30,touchTargets
SeatingChart,78,warning,5,29,colorContrast
QuickTipsGrid,82,warning,5,29,colorContrast
TimelineStepper,81,warning,5,29,colorContrast
AddPriorityItemDialog,75,warning,4,28,matIconAccessibility
BridalCouple,94,passing,4,28,matIconAccessibility
DayPlan,89,warning,4,28,clickWithoutKeyboard
Housing,87,warning,4,28,clickWithoutKeyboard
ImageUpload,94,passing,4,28,matIconAccessibility
ImageUpload,89,warning,4,28,colorContrast
PremiumPreviewWarningDialog,91,passing,4,28,matIconAccessibility
Freetext,70,warning,5,27,colorContrast
InteractiveChecklistComponent,83,warning,4,26,colorContrast
SeatingChartTracker,86,warning,4,26,colorContrast
GuestFooter,77,warning,6,26,colorContrast
ROICalculatorComponent,85,warning,4,26,colorContrast
ChecklistAddDialog,82,warning,4,26,clickWithoutKeyboard
EmptyComponentState,73,warning,4,26,matIconAccessibility
ExpertTipCarousel,82,warning,5,25,colorContrast
ThemeExplorerComponent,78,warning,5,25,touchTargets
ClosingWords,50,warning,5,25,innerHtmlUsage
GuestComponentDialog,79,warning,5,25,colorContrast
PartnerDashboard,87,warning,4,24,matIconAccessibility
SimpleCalculatorComponent,81,warning,5,23,smallFontSize
RankingQuiz,85,warning,4,22,colorContrast
TabbedContentComponent,79,warning,4,22,colorContrast
GuideFooter,73,warning,4,22,colorContrast
SocialShareComponent,79,warning,4,22,colorContrast
BridalCouple,67,warning,4,22,innerHtmlUsage
CountdownTimer,76,warning,5,21,lineHeightTight
Signin,89,warning,3,21,colorContrast
PhotoAlbum,92,passing,3,21,colorContrast
BudgetCalculatorComponent,85,warning,5,19,contentOverflow
FeatureComparisonComponent,86,warning,3,19,colorContrast
BudgetSpendTracker,81,warning,3,19,colorContrast
CountdownDaysTracker,79,warning,3,19,colorContrast
BudgetAddDialog,85,warning,3,19,cdkTrapFocusDialog
StructuralOrder,91,passing,3,19,colorContrast
GuestImpressumPage,86,warning,3,19,matIconAccessibility
AdminMagicLink,85,warning,3,19,colorContrast
Login,88,warning,3,19,colorContrast
AddCategorizedItemDialog,62,warning,4,18,matDialogFocus
FeatureMatrixComponent,76,warning,4,18,contentOverflow
PdfExportComponent,79,warning,4,18,touchTargets
Faq,73,warning,4,18,innerHtmlUsage
PresetSelector,80,warning,4,18,contentOverflow
Quote,43,failing,5,17,smallFontSize
Dashboard,89,warning,3,17,colorContrast
FeatureInfoDialog,83,warning,3,17,touchTargets
ScenarioQuiz,74,warning,4,16,contentOverflow
ProsConsCardsComponent,89,warning,4,16,contentOverflow
Gifts,88,warning,4,16,contentOverflow
ImageSelectionQuiz,80,warning,3,15,touchTargets
SliderScaleQuiz,81,warning,3,15,contentOverflow
CollapsibleStepsComponent,80,warning,3,15,innerHtmlUsage
DietaryRequirementsTracker,85,warning,3,15,colorContrast
MatchingPairsQuiz,83,warning,3,15,cdkAriaDescriber
ToneStyleSwitcherComponent,94,passing,2,14,colorContrast
StyleCardsComponent,95,passing,2,14,colorContrast
StorageConsentBanner,92,passing,2,14,hoverWithoutFocus
StorageConsentDialog,89,warning,2,14,matDialogFocus
Account,95,passing,2,14,colorContrast
Countdown,95,passing,2,14,matIconAccessibility
EigeneConfigurator,89,warning,2,14,matTooltipKeyboard
PartnerLogin,88,warning,2,14,matIconAccessibility
ImageUploadDialog,87,warning,2,14,matDialogFocus
EnableFeatureDialog,88,warning,2,14,matIconAccessibility
MusicPlaylist,86,warning,3,13,smallFontSize
CompatibilityQuiz,85,warning,2,12,colorContrast
QuantityChecklistComponent,78,warning,2,12,colorContrast
AddSimpleItemDialog,69,warning,2,12,matDialogFocus
CostSplitterComponent,80,warning,4,12,smallFontSize
VendorPaymentTracker,85,warning,2,12,colorContrast
DragToArrangeComponent,90,passing,2,12,colorContrast
MilestoneTracker,82,warning,2,12,colorContrast
ImpressumComponent,88,warning,2,12,colorContrast
SeatingAddGuestDialog,89,warning,2,12,autofocusUsage
SeatingAddTableDialog,88,warning,2,12,autofocusUsage
AnleitungLandingComponent,89,warning,2,12,colorContrast
HochzeitswebsiteErstellenComponent,80,warning,2,12,colorContrast
GuidePromo,85,warning,2,12,colorContrast
ComponentEditButton,83,warning,2,12,colorContrast
BudgetPriorityQuiz,84,warning,2,10,colorContrast
MultiStepWizardComponent,90,passing,2,10,colorContrast
InteractiveSliderComponent,86,warning,2,10,innerHtmlUsage
VisualDiffSliderComponent,89,warning,2,10,colorContrast
WeddingAbc,87,warning,2,10,innerHtmlUsage
ImpressumDialog,92,passing,2,10,touchTargets
SavingsTrackerComponent,90,passing,3,9,smallFontSize
WeddingRegistry,89,warning,3,9,innerHtmlUsage
GroupedChecklistComponent,83,warning,2,8,contentOverflow
ProgressChecklistComponent,83,warning,2,8,contentOverflow
YesNoQuiz,83,warning,2,8,contentOverflow
PriceTierComparisonComponent,89,warning,2,8,contentOverflow
SwipeComparisonComponent,89,warning,2,8,contentOverflow
FaqAccordion,84,warning,2,8,innerHtmlUsage
ComparisonCalculatorComponent,88,warning,2,8,contentOverflow
GuideStorageConsent,83,warning,2,8,lineHeightTight
InvitationText,78,warning,2,8,innerHtmlUsage
FillInBlanksComponent,95,passing,1,7,colorContrast
DecisionTree,90,passing,1,7,colorContrast
ReferralSigninNotice,88,warning,1,7,hoverWithoutFocus
DosDonts,94,passing,1,7,colorContrast
ConfigConflictDialog,95,passing,1,7,colorContrast
ShareButtonComponent,92,passing,1,7,outlineNoneWithoutAlt
AddReplyDialog,92,passing,1,7,matDialogFocus
ClosingWords,91,passing,1,7,matIconAccessibility
ContactInformation,91,passing,1,7,matIconAccessibility
Freetext,89,warning,1,7,matIconAccessibility
TakedownProcedure,94,passing,1,7,hoverWithoutFocus
PartnerMagicLink,91,passing,1,7,matIconAccessibility
ThemeInfoDialog,90,passing,1,7,colorContrast
Footer,92,passing,1,7,colorContrast
Header,92,passing,1,7,hoverWithoutFocus
PremiumColorDialog,92,passing,1,7,matIconAccessibility
ImagePreview,94,passing,2,6,visibilityHiddenUsage
NotesChecklistComponent,84,warning,1,5,prefersReducedMotion
Login,81,warning,1,5,prefersReducedMotion
TexturePickerComponent,89,warning,1,5,prefersReducedMotion
ProgressTracker,90,passing,1,5,prefersReducedMotion
ChecklisteLanding,89,warning,1,5,prefersReducedMotion
GeneratorLandingComponent,89,warning,1,5,prefersReducedMotion
InspirationLandingComponent,89,warning,1,5,prefersReducedMotion
PlanerLandingComponent,89,warning,1,5,prefersReducedMotion
QuizLandingComponent,89,warning,1,5,prefersReducedMotion
RatgeberLandingComponent,89,warning,1,5,prefersReducedMotion
RechnerLanding,89,warning,1,5,prefersReducedMotion
TrackerLanding,89,warning,1,5,prefersReducedMotion
VergleichLanding,89,warning,1,5,prefersReducedMotion
SaveTheDateTexteComponent,90,passing,1,5,prefersReducedMotion
GuideHeader,92,passing,1,5,prefersReducedMotion
GuideImage,90,passing,1,5,prefersReducedMotion
DeleteAccount,94,passing,1,5,prefersReducedMotion
Logout,75,warning,1,5,prefersReducedMotion
Organisators,95,passing,1,5,prefersReducedMotion
Replies,94,passing,1,5,prefersReducedMotion
GuestView,92,passing,1,5,prefersReducedMotion
PageHeader,92,passing,1,5,prefersReducedMotion
PaymentProcess,92,passing,1,5,prefersReducedMotion
PersonalityMatrixQuiz,89,warning,1,3,contentOverflow
MadLibsGeneratorComponent,90,passing,1,3,contentOverflow
ComparisonTableComponent,94,passing,1,3,contentOverflow
Invitations,87,warning,1,3,contentOverflow
GuideLanding,83,warning,1,3,contentOverflow
GuideLink,95,passing,1,3,contentOverflow
GuideLoaderComponent,91,passing,1,3,contentOverflow
LegalPage,92,passing,1,3,innerHtmlUsage
TemplateSelectorComponent,95,passing,0,0,
